Player,HOFm,Chmp,AP1,PB,St,From,To,wAV,G,GS,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits
Rod Woodson,177.63,1,6,11,15,1987,2003,142,238,229,71,1483,12,98,59,13.5,1158,1050,108,10,
Deion Sanders,171.03,2,6,8,12,1989,2005,127,188,157,53,1331,9,93,25,1,512,492,20,4,
Ronnie Lott,165.98,4,6,10,14,1981,1994,123,192,189,63,730,5,83,,8.5,1146,1113,33,,
Ed Reed,148.53,1,5,9,11,2002,2013,102,174,169,64,1590,7,107,139,6,646,534,112,34,2
Herb Adderley,127.38,6,5,5,11,1961,1972,106,164,145,48,1046,7,80,,1,,,,,
Charles Woodson,125.45,1,3,9,16,1998,2015,115,254,251,65,966,11,62,183,20,1220,997,223,54,21
Larry Wilson,121.13,0,5,8,13,1960,1972,91,169,163,52,800,5,96,,21,,,,,
Darrelle Revis,111.73,1,4,7,9,2007,2017,93,145,142,29,466,3,100,139,2,496,411,85,9,4
Mel Blount,110.18,4,2,5,14,1970,1983,97,200,189,57,736,2,52,,0.5,,,,,
Champ Bailey,107.7,0,3,12,14,1999,2013,117,215,212,52,464,4,70,203,3,931,832,99,42,4
Kenny Easley,107.48,0,3,5,7,1981,1987,65,89,87,32,538,3,82,,8,,,,,
Willie Brown,104.2,1,5,9,13,1963,1978,109,204,185,54,472,2,45,,2,,,,,
Mike Haynes,99.83,1,2,9,12,1976,1989,109,177,158,46,688,2,97,,2,,,,,
Average HOF DB,98,1,3,7,13,,,100,191,178,50,736,4,73,,6,,,,,
Brian Dawkins,97.93,0,4,9,15,1996,2011,104,224,221,37,513,2,67,153,26,1147,911,236,59,17
Johnny Robinson,97.35,2,6,7,12,1960,1971,94,164,156,57,741,1,57,,0,,,,,
Willie Wood,97.15,5,4,8,11,1960,1971,95,166,150,48,699,2,42,,1,,,,,
Troy Polamalu,96.53,2,4,8,10,2003,2014,96,158,142,32,398,3,49,107,12,783,583,200,56,12
Paul Krause,91.98,0,3,8,15,1964,1979,119,226,203,81,1185,3,81,,2,,,,,
Ken Houston,90.75,0,2,12,13,1967,1980,95,196,183,49,898,9,78,,4,,,,,
Jimmy Johnson,89.2,0,3,5,16,1961,1976,103,213,205,47,615,2,63,,0,,,,,
LeRoy Butler,86.5,1,4,4,11,1990,2001,87,181,165,38,533,1,90,15,20.5,889,720,169,10,
Steve Atwater,86.28,2,2,8,11,1989,1999,81,167,166,24,408,1,68,1,5,1188,1078,110,0,
Patrick Peterson,86.1,0,3,8,12,2011,2023,103,201,200,36,408,2,66,122,4,652,571,81,15,4
Cliff Harris,85.28,2,3,6,9,1970,1979,80,141,130,29,281,1,60,,3,,,,,
Aeneas Williams,84.35,0,3,8,13,1991,2004,110,211,207,55,807,9,65,48,3,793,678,115,3,
Lem Barney,83.58,0,2,7,11,1967,1977,100,140,136,56,1077,7,71,,0,,,,,
Richard Sherman,83.13,1,3,5,9,2011,2021,97,144,136,37,478,3,58,116,2,495,385,110,12,3
Dave Grayson,82.93,1,4,6,8,1961,1970,87,139,125,48,933,5,99,,1,,,,,
Lester Hayes,81.78,2,1,5,9,1977,1986,76,149,134,39,572,4,62,,1,,,,,
Ronde Barber,81.43,1,3,5,15,1997,2012,109,241,232,47,923,8,78,197,28,1251,1044,207,88,18
Darrell Green,80.53,2,1,7,15,1983,2002,103,295,258,54,621,6,83,33,1,1202,1162,40,7,
Earl Thomas,78.53,1,3,7,9,2010,2019,82,140,140,30,455,2,78,71,2,713,497,216,13,11
Eric Weddle,77.7,1,2,6,12,2007,2021,88,201,186,29,467,4,53,98,9.5,1179,903,276,38,23
Bobby Boyd,76.3,0,3,2,9,1960,1968,95,121,115,57,994,4,74,,0.5,,,,,
Darren Sharper,75.5,1,2,5,12,1997,2010,89,205,182,63,1412,11,99,123,7.5,949,740,209,28,3
Jimmy Patton,75.48,1,5,5,11,1955,1966,55,153,132,52,712,2,51,,3.5,,,,,
Ty Law,74.03,3,2,5,12,1995,2009,88,203,189,53,828,7,74,108,5,845,708,137,19,2
Eddie Meador,73.48,0,2,6,12,1959,1970,89,163,160,46,547,5,38,,0,,,,,
Butch Byrd,72.93,2,3,5,7,1964,1971,67,112,98,40,666,5,75,,0,,,,,
Dick Anderson,70.9,2,2,3,7,1968,1977,73,121,100,34,792,3,96,,2,,,,,
Roger Wehrli,70.75,0,3,7,13,1969,1982,91,193,175,40,309,2,53,,1,,,,,
Mel Renfro,69.75,2,0,10,13,1964,1977,100,174,154,52,626,3,90,,2,,,,,
Donnie Shell,68.88,4,3,5,11,1974,1987,91,201,162,51,490,2,67,,9.5,,,,,
Darren Woodson,66.33,3,3,5,11,1992,2003,81,178,162,23,271,2,94,36,11,967,827,140,26,
John Lynch,64.28,1,2,9,13,1993,2007,88,224,191,26,204,0,36,68,13,1059,740,319,28,4
Tyrann Mathieu,63.18,1,3,3,9,2013,2023,63,163,154,33,501,4,74,93,11,776,638,138,44,27
Deron Cherry,63.08,0,3,6,8,1981,1991,78,148,124,50,688,1,67,,3.5,,,,,
Cornell Green,63.05,1,2,5,12,1962,1974,97,182,173,34,552,2,59,,2.5,,,,,
Stephon Gilmore,62.63,1,2,5,10,2012,2023,71,165,158,31,496,2,64,140,1,561,481,80,8,1
Louis Wright,62,0,2,5,12,1975,1986,84,166,165,26,360,1,59,,3,,,,,
Chris Harris Jr.,61.83,1,1,4,10,2011,2022,68,172,145,22,508,4,98,97,6,621,524,97,25,13
Eric Allen,61.45,0,1,6,14,1988,2001,96,217,214,54,826,8,94,40,3,787,730,57,1,
Joey Browner,61.23,0,3,6,7,1983,1992,74,145,117,37,465,3,45,,9.5,,,,,
Jake Scott,60.33,2,2,5,9,1970,1978,88,126,126,49,551,0,47,,0.5,,,,,
