Player,HOFm,Chmp,AP1,PB,St,From,To,wAV,G,GS,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits
Reggie White,239.73,1,8,13,15,1985,2000,160,232,228,3,79,0,46,1,198,1111,1048,63,5,
Bruce Smith,213.75,0,8,11,18,1985,2003,152,279,267,2,0,0,0,7,200,1224,1075,149,41,
J.J. Watt,152.68,0,5,5,10,2011,2022,110,151,151,2,99,2,80,70,114.5,586,449,137,195,317
Jack Youngblood,133.03,0,5,7,13,1971,1984,112,202,187,0,0,0,0,,151.5,,,,,
Deacon Jones,128.28,0,5,8,12,1961,1974,103,191,168,2,50,0,50,,173.5,,,,,
Michael Strahan,125.05,1,4,7,14,1993,2007,122,216,205,4,124,2,56,23,141.5,854,666,188,131,27
Willie Davis,123.88,5,5,5,10,1958,1969,103,162,144,2,21,0,21,,99.5,,,,,
Julius Peppers,120.75,0,3,9,16,2002,2018,130,266,240,11,293,4,97,82,159.5,719,557,162,175,186
Carl Eller,112.23,0,5,6,15,1964,1979,132,225,209,1,1,0,1,,133.5,,,,,
Average HOF DE,104,1,3,7,12,,,104,194,171,3,40,1,24,,126,,,,,
Jason Taylor,99.08,0,3,6,12,1997,2011,118,233,199,8,110,3,51,87,139.5,788,536,252,151,67
Richard Seymour,94.35,3,3,7,11,2001,2012,91,164,157,2,6,0,6,39,57.5,498,326,172,91,79
Howie Long,91.45,1,2,8,11,1981,1993,95,179,151,2,84,0,73,,91.5,,,,,
Chris Doleman,87.63,0,2,8,13,1985,1999,114,232,213,8,121,2,59,2,150.5,975,915,60,11,
Dwight Freeney,87.55,1,3,7,11,2002,2017,81,218,157,0,0,0,0,16,125.5,350,299,51,128,148
Dan Hampton,86.6,1,1,4,11,1979,1990,102,157,151,0,0,0,0,,82,,,,,
L.C. Greenwood,82.1,4,2,6,10,1969,1981,87,170,135,0,0,0,0,,78,,,,,
Cameron Jordan,81.03,0,1,8,12,2011,2023,103,209,208,2,6,1,6,61,117.5,682,444,238,153,225
Calais Campbell,80.75,0,1,6,14,2008,2023,109,244,225,3,24,0,23,58,105.5,865,616,249,175,254
Harvey Martin,73.75,1,1,4,9,1973,1983,82,158,130,2,7,0,7,,114,,,,,
Neil Smith,73.55,2,1,6,11,1988,2000,96,191,162,4,68,1,41,2,104.5,625,582,43,8,
Jared Allen,72.15,0,4,5,12,2004,2015,101,187,181,6,55,1,36,58,136,648,503,145,171,228
Lee Roy Selmon,70.35,0,1,6,9,1976,1984,78,121,117,0,0,0,0,,78.5,,,,,
Chandler Jones,68.9,1,2,4,10,2012,2022,77,154,151,1,0,0,0,30,112,511,352,159,121,210
Earl Faison,66.25,1,4,5,5,1961,1966,59,73,65,6,136,2,42,,31,,,,,
Richard Dent,64.4,2,1,4,10,1983,1997,98,203,150,8,89,1,30,,137.5,677,671,6,,
Charles Haley,63.05,5,2,5,8,1986,1999,81,169,120,2,9,0,8,3,100.5,503,489,14,3,
Justin Smith,58.1,0,1,5,14,2001,2014,101,221,217,3,28,0,21,30,87,884,615,269,119,137
John Abraham,57.6,0,2,5,11,2000,2014,91,192,175,1,6,0,6,30,133.5,560,463,97,148,129
Too Tall Jones,55.93,1,1,3,14,1974,1989,94,224,203,3,14,0,12,,106,,,,,
Jerry Mays,55.73,2,2,7,9,1961,1970,86,140,126,1,7,0,7,,65.5,,,,,
Claude Humphrey,54.78,0,2,6,10,1968,1981,84,171,148,2,11,0,6,,130,,,,,
Mark Gastineau,54.73,0,3,5,7,1979,1988,84,137,107,0,0,0,0,,107.5,,,,,
Jim Marshall,54,0,0,2,20,1960,1979,102,282,277,1,30,0,30,,130.5,,,,,
Rich Jackson,53.98,0,3,3,6,1966,1972,45,82,72,0,0,0,0,,45,,,,,
Leslie O'Neal,53.35,0,0,6,12,1986,1999,89,196,178,3,27,1,17,2,132.5,767,700,67,8,
Simeon Rice,53.05,1,1,3,11,1996,2007,86,174,161,5,48,0,30,43,122,483,403,80,93,7
Lyle Alzado,52.68,1,2,2,14,1971,1985,85,196,195,0,0,0,0,,112,,,,,
Myles Garrett,51.75,0,3,5,6,2017,2023,79,100,97,0,0,0,0,16,88.5,305,210,95,94,172
Charles Mann,51.45,3,0,4,10,1983,1994,79,177,145,0,0,0,0,,83,796,795,1,,
Ron McDole,51.33,2,1,2,15,1961,1978,97,240,208,12,115,1,42,,77.5,,,,,
Kevin Carter,50.58,1,1,2,14,1995,2008,86,224,219,0,0,0,0,19,104.5,637,455,182,87,28
Clyde Simmons,50.13,0,2,2,12,1986,2000,89,236,185,3,85,2,60,5,121.5,966,914,52,8,
Jason Pierre-Paul,47.9,2,1,3,11,2010,2023,74,182,150,5,70,2,28,66,94.5,631,456,175,127,167
Robert Mathis,47.15,1,1,5,9,2003,2016,67,192,121,1,1,0,1,18,123,538,408,130,108,141
George Andrie,46.98,1,0,5,10,1962,1972,75,141,137,1,6,1,6,,98.5,,,,,
Bill Stanfill,45.73,2,1,5,7,1969,1976,65,109,95,2,32,2,17,,69.5,,,,,
Mario Williams,45.4,0,1,4,9,2006,2016,79,158,150,0,0,0,0,21,97.5,399,317,82,121,158
Jim Katcavage,45.1,1,2,3,12,1956,1968,67,165,154,1,4,0,4,,91.5,,,,,
Elvin Bethea,45.03,0,0,8,13,1968,1983,74,210,181,0,0,0,0,,105,,,,,
Rob Burnett,44.7,1,0,1,10,1990,2003,82,202,160,1,3,0,3,18,73,605,508,97,26,
Doug Betters,44.63,0,1,1,7,1978,1987,61,146,105,0,0,0,0,,64.5,,,,,
Fred Dean,43.85,2,2,4,6,1975,1985,58,141,82,1,22,1,22,,92,,,,,
Nick Bosa,43.68,0,1,4,3,2019,2023,50,68,66,1,46,0,46,8,53.5,209,150,59,72,141
Al Baker,43.35,0,1,3,11,1978,1990,75,181,156,4,33,0,19,,131,,,,,
Dwight White,42.55,4,0,2,8,1971,1980,63,126,104,4,37,0,19,,55,,,,,
Tamba Hali,42.4,0,0,5,10,2006,2017,75,177,157,2,1,1,10,16,89.5,596,460,136,105,159
Bubba Smith,42.13,1,1,2,6,1967,1976,69,111,83,0,0,0,0,,52.5,,,,,
Leonard Marshall,42.1,2,0,2,9,1983,1994,70,177,138,2,3,0,3,,83.5,714,711,3,,
Ordell Braase,42,2,0,2,9,1957,1968,70,157,123,0,0,0,0,,80,,,,,
Justin Tuck,41.83,2,1,2,7,2005,2015,65,147,107,3,46,1,41,29,66.5,508,354,154,102,140
Elvis Dumervil,41.43,0,2,5,6,2006,2017,63,162,99,1,27,0,27,14,105.5,366,263,103,84,190
William Fuller,41.18,0,0,4,10,1986,1998,75,194,161,2,9,0,9,,100.5,516,483,33,,
Osi Umenyiora,41.08,2,1,2,6,2003,2014,63,161,102,1,68,1,68,17,85,450,316,134,78,106
Bill Glass,41,1,0,4,10,1958,1968,66,144,131,4,21,1,17,,87,,,,,
Aaron Smith,40.95,2,0,1,9,1999,2011,71,160,152,1,0,0,0,21,44,481,344,137,84,26
Dexter Manley,40.93,2,1,1,9,1981,1991,66,143,120,2,-1,0,1,,103.5,,,,,
Jurrell Casey,40.85,0,0,5,9,2011,2020,72,142,140,0,0,0,0,15,51,507,332,175,85,117
