Player,HOFm,Chmp,AP1,PB,St,From,To,wAV,G,GS,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits
Ray Lewis,197.35,2,7,12,14,1996,2012,160,228,227,31,503,3,64,96,41.5,2059,1568,491,99,40
Mike Singletary,171.28,1,7,10,12,1981,1992,124,179,172,7,44,0,23,,19,,,,,
Jack Lambert,150.8,4,6,9,10,1974,1984,111,146,138,28,243,0,31,,23.5,,,,,
Dick Butkus,128.05,0,5,8,9,1965,1973,82,119,119,22,166,0,38,,11,,,,,
Luke Kuechly,118.45,0,5,7,8,2012,2019,91,118,118,18,153,1,32,66,12.5,1092,690,402,75,31
Brian Urlacher,114.23,0,4,8,12,2000,2012,119,182,180,22,324,2,85,90,41.5,1361,1046,315,138,24
Patrick Willis,111.1,0,5,7,7,2007,2014,93,112,112,8,131,2,86,53,20.5,950,733,217,60,41
Zach Thomas,110.3,0,5,7,12,1996,2008,115,184,182,17,170,4,34,48,20.5,1734,1107,627,74,5
Average HOF ILB,109,1,4,8,12,,,105,174,165,22,275,1,48,,22,,,,,
Bobby Wagner,108.53,1,6,9,11,2012,2023,121,185,183,13,200,1,98,68,33,1706,996,710,89,94
Nick Buoniconti,103.15,2,5,8,13,1962,1976,104,183,174,32,312,0,41,,24,,,,,
Ray Nitschke,81.48,5,2,1,11,1958,1972,95,190,150,25,385,2,43,,16,,,,,
Randy Gradishar,70.8,0,2,7,9,1974,1983,88,145,133,20,335,3,93,,19.5,,,,,
NaVorro Bowman,69.98,0,4,3,5,2010,2017,71,99,84,5,104,1,89,30,14,798,585,213,48,30
Sam Huff,66.43,1,2,5,13,1956,1969,64,168,159,30,381,2,39,,29,,,,,
Hardy Nickerson,66.13,0,2,5,14,1987,2002,97,225,200,12,71,0,18,24,21,1586,1272,314,16,
Harry Carson,63.18,1,0,9,13,1976,1988,95,173,166,11,212,0,66,,19,,,,,
Willie Lanier,63.15,1,3,8,11,1967,1977,86,149,145,27,440,2,75,,4,,,,,
Karl Mecklenburg,62.15,0,3,6,10,1983,1994,93,180,141,5,128,0,63,,79,1118,1104,14,,
Lee Roy Jordan,58.05,1,0,5,13,1963,1976,88,187,174,32,472,3,49,,19.5,,,,,
James Farrior,56.93,2,1,2,12,1997,2011,95,230,197,11,225,1,47,69,35.5,1440,1012,428,98,47
London Fletcher,56.48,1,0,4,15,1998,2013,95,256,240,23,168,2,27,96,39,2039,1384,655,109,29
Sam Mills,55.78,0,1,5,11,1986,1997,102,181,173,11,119,1,36,,20.5,1265,1142,123,,
Tommy Nobis,51.55,0,1,5,9,1966,1976,58,133,132,12,182,2,41,,9.5,,,,,
Bill Bergey,51.43,0,2,5,11,1969,1980,87,159,157,27,397,0,58,,18.5,,,,,
Levon Kirkland,50.25,0,1,2,10,1992,2002,80,176,155,11,51,0,23,20,19.5,1026,775,251,24,
Mike Curtis,50,1,1,4,9,1965,1978,79,166,128,25,289,2,38,,22.5,,,,,
Pepper Johnson,48.75,2,1,2,10,1986,1998,79,193,158,14,188,2,39,,25.5,1090,983,107,,
Jack Reynolds,44.88,2,0,2,11,1970,1984,76,198,162,6,87,0,49,,4.5,,,,,
Matt Millen,43,4,0,1,12,1980,1991,67,180,166,9,132,0,60,,17,,,,,
C.J. Mosley,42.88,0,0,5,7,2014,2023,81,129,129,12,174,2,63,53,12,1066,674,392,55,40
Keith Brooking,42.75,0,0,5,12,1998,2012,81,225,193,13,185,0,41,60,22,1440,1103,337,58,26
Sherrill Headrick,42.6,1,3,4,7,1960,1968,69,116,99,15,207,3,56,,9,,,,,
Tedy Bruschi,42.35,3,0,1,9,1996,2008,70,189,139,12,187,4,48,57,30.5,1074,680,394,45,9
Dont'a Hightower,41.4,3,0,2,8,2012,2021,65,117,114,1,27,0,27,18,27,569,353,216,43,67
Chris Spielman,40.5,0,1,4,10,1988,1997,74,148,148,6,36,0,14,,10.5,1363,1181,182,,
Bryan Cox,40.05,1,0,3,10,1991,2002,67,165,144,4,65,1,27,10,51.5,939,765,174,19,
Lawrence Timmons,39.38,1,0,1,9,2007,2017,72,172,140,12,274,1,89,46,35.5,1067,737,330,71,86
Jeremiah Trotter,39.23,0,1,4,9,1998,2009,71,147,124,9,163,2,50,51,12.5,914,723,191,69,1
Al Wilson,38.3,0,1,5,8,1999,2006,67,125,119,5,38,1,20,46,21.5,723,565,158,62,2
Bob Breunig,37.45,1,0,3,9,1975,1984,62,135,125,9,60,0,15,,8.5,,,,,
Jessie Tuggle,37.33,0,0,5,13,1987,2000,70,209,189,6,106,1,49,5,21,1805,1639,166,8,
Roquan Smith,36.78,0,2,2,5,2018,2023,68,94,92,9,162,1,53,31,20,851,535,316,59,26
K.J. Wright,35.35,1,0,1,10,2011,2021,64,161,148,6,42,0,24,54,13.5,992,618,374,68,27
Larry Foote,34.93,2,0,0,8,2002,2014,62,187,134,4,26,0,14,27,25,818,552,266,65,35
Jonathan Vilma,34.25,1,0,3,8,2004,2013,56,125,121,12,116,2,38,40,10.5,879,617,262,43,30
Mike Lucci,34.08,1,0,1,9,1962,1973,61,154,123,21,308,4,63,,13.5,,,,,
Steve Nelson,33.58,0,0,3,13,1974,1987,68,174,171,17,226,0,37,,19.5,,,,,
Jerod Mayo,33.05,1,1,2,7,2008,2015,51,103,93,3,4,0,2,19,11,802,536,266,30,28
Jeff Siemon,33,0,0,4,9,1972,1982,64,156,124,11,104,0,23,,7,,,,,
Neal Olkewicz,32.95,2,0,0,11,1979,1989,58,150,137,6,76,1,21,,13.5,,,,,
Jerry Robinson,32.73,0,0,1,10,1979,1991,72,184,147,12,107,2,32,,19.5,,,,,
Robert Jones,32.7,3,0,0,9,1992,2001,53,151,128,3,14,1,14,1,8,766,609,157,12,
David Harris,32.38,0,0,0,11,2007,2017,75,164,153,6,79,1,35,32,36.5,1110,725,385,55,69
Scott Studwell,32.03,0,0,2,11,1977,1990,68,201,160,11,97,0,20,,10,,,,,
Loren Toews,31.93,4,0,0,4,1973,1983,48,149,59,4,45,0,20,,16,,,,,
Nick Barnett,31.75,1,0,0,9,2003,2013,60,153,139,12,255,2,95,42,20.5,1043,732,311,68,24
Shelton Quarles,31.73,1,0,1,8,1997,2006,56,148,113,4,132,2,98,21,13,710,491,219,30,6
Mike Peterson,31.4,0,0,0,11,1999,2012,73,198,163,19,272,1,53,55,21.5,1220,896,324,70,17
Vaughan Johnson,30.93,0,0,4,7,1986,1994,60,124,98,4,68,0,34,,12,669,669,0,,
Gary Plummer,30.63,1,0,0,12,1986,1997,57,180,163,6,50,0,38,,4.5,1029,997,32,,
Myron Pottios,30.3,0,0,3,7,1961,1973,62,129,105,12,224,0,38,,10,,,,,
Shane Conlan,30.23,0,0,3,8,1987,1995,61,120,114,5,36,0,28,,7,783,751,32,,
Chuck Allen,29.63,1,0,2,10,1961,1972,60,144,110,28,352,1,59,,1,,,,,
Jon Beason,29.5,0,1,3,5,2007,2015,55,93,90,10,116,0,44,35,4,705,526,179,34,11
Fredd Young,29.3,0,1,4,6,1984,1990,52,101,79,3,52,1,50,,21,,,,,
Randall Godfrey,29.15,0,0,0,9,1996,2007,68,170,149,6,47,1,24,29,17,850,661,189,52,6
Bart Scott,29.13,0,0,1,8,2002,2012,65,172,118,4,42,0,24,27,25,747,538,209,75,69
John Offerdahl,29.08,0,1,5,7,1986,1993,48,89,86,4,44,0,28,,9.5,,,,,
Dan Conners,28.95,0,0,3,9,1964,1974,68,141,116,15,232,3,75,,12,,,,,
Mike Walter,28.93,3,0,0,7,1983,1993,46,149,96,2,16,0,16,,8,,,,,
Eric Kendricks,28.75,0,1,1,8,2015,2023,60,132,127,9,133,2,77,57,18.5,1036,658,378,61,36
Ted Johnson,28.48,3,0,0,7,1995,2004,45,125,106,1,0,0,0,8,11.5,760,529,231,16,
Riki Ellison,28.3,2,0,0,8,1983,1992,49,124,119,1,7,0,7,,5,,,,,
David Little,28.08,0,0,1,9,1981,1992,63,179,126,10,69,0,35,,9,,,,,
Mike Johnson,28.03,0,0,2,8,1986,1995,60,144,125,13,217,2,64,,14.5,1224,1146,78,,
Antonio Pierce,28.03,1,0,1,6,2001,2009,49,124,94,7,169,1,78,43,9,691,535,156,39,11
